Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Electronic Box Temperature(DegC),20,0.070851974,0.09866410477080127,1.0,IBS_T
Solar Wind Analyser temperature(DegC),20,0.03673018,0.051148191407770646,1.0,IBS_T
Out Board Sensor Temperature(Deg C),20,0.3953809,0.5505831431312513,1.0,IBS_T
In Board Sensor Temperature(Deg C),20,0.083745085,0.11661825880080148,1.0,IBS_T
Search Coil Magnetometer's Temperature(Deg C),20,0.11723055,0.1632480595041524,1.0,IBS_T
Solar Array's Angle(Deg C),20,0.014174288,0.019738242385222905,1.0,IBS_T
Electronic Box Temperature(DegC),40,0.076362975,0.12059662149661608,0.9999999999999999,IBS_T
Solar Wind Analyser temperature(DegC),40,0.0369948,0.05842422840313664,0.9999999999999999,IBS_T
Out Board Sensor Temperature(Deg C),40,0.33886918,0.5351608975073151,0.9999999999999999,IBS_T
In Board Sensor Temperature(Deg C),40,0.124134876,0.19604064215022232,0.9999999999999999,IBS_T
Search Coil Magnetometer's Temperature(Deg C),40,0.04795044,0.07572597928873515,0.9999999999999999,IBS_T
Solar Array's Angle(Deg C),40,0.008897632,0.014051631153974543,0.9999999999999999,IBS_T
Electronic Box Temperature(DegC),60,0.063795105,0.11202881142729856,0.9999999999999999,IBS_T
Solar Wind Analyser temperature(DegC),60,0.026034286,0.04571808631615794,0.9999999999999999,IBS_T
Out Board Sensor Temperature(Deg C),60,0.21419854,0.3761481048689028,0.9999999999999999,IBS_T
In Board Sensor Temperature(Deg C),60,0.21727422,0.3815492210631737,0.9999999999999999,IBS_T
Search Coil Magnetometer's Temperature(Deg C),60,0.03898312,0.06845717393721275,0.9999999999999999,IBS_T
Solar Array's Angle(Deg C),60,0.009167392,0.01609860238725409,0.9999999999999999,IBS_T
Electronic Box Temperature(DegC),80,0.06717206,0.14074368261014605,0.9999999999999999,IBS_T
Solar Wind Analyser temperature(DegC),80,0.061038733,0.12789269920079044,0.9999999999999999,IBS_T
Out Board Sensor Temperature(Deg C),80,0.109421514,0.22926774669613603,0.9999999999999999,IBS_T
In Board Sensor Temperature(Deg C),80,0.1833889,0.38424948015326327,0.9999999999999999,IBS_T
Search Coil Magnetometer's Temperature(Deg C),80,0.041047264,0.08600515000479178,0.9999999999999999,IBS_T
Solar Array's Angle(Deg C),80,0.015196716,0.031841241334872386,0.9999999999999999,IBS_T
Electronic Box Temperature(DegC),100,0.07313827,0.13740237543065528,1.0,IBS_T
Solar Wind Analyser temperature(DegC),100,0.08690222,0.16326023924543745,1.0,IBS_T
Out Board Sensor Temperature(Deg C),100,0.0609783,0.11455785418117119,1.0,IBS_T
In Board Sensor Temperature(Deg C),100,0.2033092,0.38195006563466954,1.0,IBS_T
Search Coil Magnetometer's Temperature(Deg C),100,0.057422392,0.1078774910004059,1.0,IBS_T
Solar Array's Angle(Deg C),100,0.050542235,0.0949519745076607,1.0,IBS_T
Electronic Box Temperature(DegC),120,0.07808725,0.1825628444342415,1.0000000000000002,IBS_T
Solar Wind Analyser temperature(DegC),120,0.075098336,0.17557496047611357,1.0000000000000002,IBS_T
Out Board Sensor Temperature(Deg C),120,0.051584247,0.12060057000750429,1.0000000000000002,IBS_T
In Board Sensor Temperature(Deg C),120,0.13494825,0.3155001152098855,1.0000000000000002,IBS_T
Search Coil Magnetometer's Temperature(Deg C),120,0.06161059,0.1440414991906084,1.0000000000000002,IBS_T
Solar Array's Angle(Deg C),120,0.02639938,0.061720010681646835,1.0000000000000002,IBS_T
Electronic Box Temperature(DegC),140,0.13071467,0.24237435306246058,0.9999999999999999,IBS_T
Solar Wind Analyser temperature(DegC),140,0.101617746,0.1884221216059027,0.9999999999999999,IBS_T
Out Board Sensor Temperature(Deg C),140,0.10178628,0.18873462148995573,0.9999999999999999,IBS_T
In Board Sensor Temperature(Deg C),140,0.10277364,0.19056540866357405,0.9999999999999999,IBS_T
Search Coil Magnetometer's Temperature(Deg C),140,0.099570476,0.18462602326595215,0.9999999999999999,IBS_T
Solar Array's Angle(Deg C),140,0.0028461881,0.005277471912154725,0.9999999999999999,IBS_T
Electronic Box Temperature(DegC),160,0.07650366,0.15671763168249023,0.9999999999999999,IBS_T
Solar Wind Analyser temperature(DegC),160,0.14200139,0.2908896324230978,0.9999999999999999,IBS_T
Out Board Sensor Temperature(Deg C),160,0.0846163,0.17333636243985057,0.9999999999999999,IBS_T
In Board Sensor Temperature(Deg C),160,0.11750063,0.2406998626575586,0.9999999999999999,IBS_T
Search Coil Magnetometer's Temperature(Deg C),160,0.060857914,0.12466734468934774,0.9999999999999999,IBS_T
Solar Array's Angle(Deg C),160,0.0066825366,0.013689166107654988,0.9999999999999999,IBS_T
Electronic Box Temperature(DegC),180,0.104354165,0.18801757767886174,0.9999999999999999,IBS_T
Solar Wind Analyser temperature(DegC),180,0.14704521,0.264935129263691,0.9999999999999999,IBS_T
Out Board Sensor Temperature(Deg C),180,0.099803254,0.1798180845158233,0.9999999999999999,IBS_T
In Board Sensor Temperature(Deg C),180,0.114504315,0.20630536347137993,0.9999999999999999,IBS_T
Search Coil Magnetometer's Temperature(Deg C),180,0.07996714,0.14407884876187177,0.9999999999999999,IBS_T
Solar Array's Angle(Deg C),180,0.009349368,0.016844996308372207,0.9999999999999999,IBS_T
Electronic Box Temperature(DegC),20,0.029707946,0.051587100397398694,1.0,OBS_N
Solar Wind Analyser temperature(DegC),20,0.03766165,0.06539850717655439,1.0,OBS_N
Out Board Sensor Temperature(Deg C),20,0.32674736,0.5673885655004548,1.0,OBS_N
In Board Sensor Temperature(Deg C),20,0.074726135,0.12976005236291221,1.0,OBS_N
Search Coil Magnetometer's Temperature(Deg C),20,0.030960552,0.05376221918482291,1.0,OBS_N
Solar Array's Angle(Deg C),20,0.07607571,0.1321035553778571,1.0,OBS_N
Electronic Box Temperature(DegC),40,0.10248214,0.23242887152871833,1.0,OBS_N
Solar Wind Analyser temperature(DegC),40,0.03285975,0.07452571356546421,1.0,OBS_N
Out Board Sensor Temperature(Deg C),40,0.19623533,0.4450605374357488,1.0,OBS_N
In Board Sensor Temperature(Deg C),40,0.058286946,0.13219443976906944,1.0,OBS_N
Search Coil Magnetometer's Temperature(Deg C),40,0.03729206,0.08457816574459956,1.0,OBS_N
Solar Array's Angle(Deg C),40,0.0137620615,0.031212271956399633,1.0,OBS_N
Electronic Box Temperature(DegC),60,0.17334792,0.4529178400735797,1.0,OBS_N
Solar Wind Analyser temperature(DegC),60,0.018349655,0.047943385237592485,1.0,OBS_N
Out Board Sensor Temperature(Deg C),60,0.08715067,0.2277044525101041,1.0,OBS_N
In Board Sensor Temperature(Deg C),60,0.06364178,0.166281184891275,1.0,OBS_N
Search Coil Magnetometer's Temperature(Deg C),60,0.033008486,0.08624350487285336,1.0,OBS_N
Solar Array's Angle(Deg C),60,0.0072373953,0.01890963241459533,1.0,OBS_N
Electronic Box Temperature(DegC),80,0.18831536,0.4967946878043311,1.0,OBS_N
Solar Wind Analyser temperature(DegC),80,0.04116673,0.10860193655087505,1.0,OBS_N
Out Board Sensor Temperature(Deg C),80,0.04101019,0.10818896842958697,1.0,OBS_N
In Board Sensor Temperature(Deg C),80,0.06288684,0.165901751428035,1.0,OBS_N
Search Coil Magnetometer's Temperature(Deg C),80,0.032742105,0.08637693617520967,1.0,OBS_N
Solar Array's Angle(Deg C),80,0.012939511,0.034135719611962136,1.0,OBS_N
Electronic Box Temperature(DegC),100,0.21239121,0.49943480757564196,1.0,OBS_N
Solar Wind Analyser temperature(DegC),100,0.031720657,0.07459065855393893,1.0,OBS_N
Out Board Sensor Temperature(Deg C),100,0.06784439,0.15953508558445903,1.0,OBS_N
In Board Sensor Temperature(Deg C),100,0.05458676,0.12835996356335908,1.0,OBS_N
Search Coil Magnetometer's Temperature(Deg C),100,0.040749058,0.09582081076292503,1.0,OBS_N
Solar Array's Angle(Deg C),100,0.017971056,0.042258673959676044,1.0,OBS_N
Electronic Box Temperature(DegC),120,0.2116921,0.4874623987419399,1.0,OBS_N
Solar Wind Analyser temperature(DegC),120,0.039270032,0.09042691719432489,1.0,OBS_N
Out Board Sensor Temperature(Deg C),120,0.08292535,0.1909518117469425,1.0,OBS_N
In Board Sensor Temperature(Deg C),120,0.036865927,0.08489099596661967,1.0,OBS_N
Search Coil Magnetometer's Temperature(Deg C),120,0.047722783,0.10989102699543853,1.0,OBS_N
Solar Array's Angle(Deg C),120,0.015797509,0.036376849354734474,1.0,OBS_N
Electronic Box Temperature(DegC),140,0.19984864,0.43693166876968836,1.0,OBS_N
Solar Wind Analyser temperature(DegC),140,0.037061393,0.08102780329362885,1.0,OBS_N
Out Board Sensor Temperature(Deg C),140,0.09632308,0.21059239675304367,1.0,OBS_N
In Board Sensor Temperature(Deg C),140,0.04040527,0.08833856486684036,1.0,OBS_N
Search Coil Magnetometer's Temperature(Deg C),140,0.059534885,0.1301618897834956,1.0,OBS_N
Solar Array's Angle(Deg C),140,0.024217794,0.05294767653330314,1.0,OBS_N
Electronic Box Temperature(DegC),160,0.27770838,0.5323081169853651,1.0,OBS_N
Solar Wind Analyser temperature(DegC),160,0.046607815,0.08933730497960576,1.0,OBS_N
Out Board Sensor Temperature(Deg C),160,0.05269985,0.10101444514894074,1.0,OBS_N
In Board Sensor Temperature(Deg C),160,0.035084683,0.06724990273162966,1.0,OBS_N
Search Coil Magnetometer's Temperature(Deg C),160,0.06867605,0.13163743513066758,1.0,OBS_N
Solar Array's Angle(Deg C),160,0.0409293,0.07845279502379116,1.0,OBS_N
Electronic Box Temperature(DegC),180,0.096472174,0.3059785992409865,1.0,OBS_N
Solar Wind Analyser temperature(DegC),180,0.02845644,0.09025464327760645,1.0,OBS_N
Out Board Sensor Temperature(Deg C),180,0.041005995,0.13005778133063425,1.0,OBS_N
In Board Sensor Temperature(Deg C),180,0.031220244,0.09902053753947553,1.0,OBS_N
Search Coil Magnetometer's Temperature(Deg C),180,0.07574184,0.24022867057121491,1.0,OBS_N
Solar Array's Angle(Deg C),180,0.0423939,0.1344597680400823,1.0,OBS_N
Electronic Box Temperature(DegC),20,0.059720557,0.2543337884901794,1.0,OBS_R
Solar Wind Analyser temperature(DegC),20,0.04008851,0.17072618099034878,1.0,OBS_R
Out Board Sensor Temperature(Deg C),20,0.03066536,0.13059551980091558,1.0,OBS_R
In Board Sensor Temperature(Deg C),20,0.010229506,0.04356471449794115,1.0,OBS_R
Search Coil Magnetometer's Temperature(Deg C),20,0.089953154,0.38308628707968234,1.0,OBS_R
Solar Array's Angle(Deg C),20,0.0041546435,0.017693509140932807,1.0,OBS_R
Electronic Box Temperature(DegC),40,0.044344094,0.24926656123038754,0.9999999999999999,OBS_R
Solar Wind Analyser temperature(DegC),40,0.027898185,0.15682098814600157,0.9999999999999999,OBS_R
Out Board Sensor Temperature(Deg C),40,0.03323426,0.18681607758716684,0.9999999999999999,OBS_R
In Board Sensor Temperature(Deg C),40,0.028093943,0.15792138098508715,0.9999999999999999,OBS_R
Search Coil Magnetometer's Temperature(Deg C),40,0.035125956,0.19744965952060942,0.9999999999999999,OBS_R
Solar Array's Angle(Deg C),40,0.009201848,0.05172533253074737,0.9999999999999999,OBS_R
Electronic Box Temperature(DegC),60,0.09918763,0.29095222984983365,1.0,OBS_R
Solar Wind Analyser temperature(DegC),60,0.028887914,0.0847384194380915,1.0,OBS_R
Out Board Sensor Temperature(Deg C),60,0.037852813,0.11103562357966182,1.0,OBS_R
In Board Sensor Temperature(Deg C),60,0.064810194,0.19011111023925373,1.0,OBS_R
Search Coil Magnetometer's Temperature(Deg C),60,0.09683429,0.2840490553249982,1.0,OBS_R
Solar Array's Angle(Deg C),60,0.013334084,0.03911356156816116,1.0,OBS_R
Electronic Box Temperature(DegC),80,0.1788039,0.4887468198596856,1.0,OBS_R
Solar Wind Analyser temperature(DegC),80,0.040885672,0.11175786528048992,1.0,OBS_R
Out Board Sensor Temperature(Deg C),80,0.03341951,0.09134968104034064,1.0,OBS_R
In Board Sensor Temperature(Deg C),80,0.038899302,0.10632827442388845,1.0,OBS_R
Search Coil Magnetometer's Temperature(Deg C),80,0.06486897,0.17731438069904154,1.0,OBS_R
Solar Array's Angle(Deg C),80,0.008964208,0.024502978696553893,1.0,OBS_R
Electronic Box Temperature(DegC),100,0.15037116,0.37795168044606825,1.0,OBS_R
Solar Wind Analyser temperature(DegC),100,0.034673583,0.08715061426630095,1.0,OBS_R
Out Board Sensor Temperature(Deg C),100,0.06974606,0.17530383207453012,1.0,OBS_R
In Board Sensor Temperature(Deg C),100,0.051603638,0.12970360605870557,1.0,OBS_R
Search Coil Magnetometer's Temperature(Deg C),100,0.08683716,0.21826160380197968,1.0,OBS_R
Solar Array's Angle(Deg C),100,0.0046265586,0.011628663352415507,1.0,OBS_R
Electronic Box Temperature(DegC),120,0.08082062,0.24447463840025915,0.9999999999999999,OBS_R
Solar Wind Analyser temperature(DegC),120,0.015848732,0.0479408970730813,0.9999999999999999,OBS_R
Out Board Sensor Temperature(Deg C),120,0.061313253,0.18546672069972495,0.9999999999999999,OBS_R
In Board Sensor Temperature(Deg C),120,0.11799851,0.35693419654562614,0.9999999999999999,OBS_R
Search Coil Magnetometer's Temperature(Deg C),120,0.04681884,0.14162250895030984,0.9999999999999999,OBS_R
Solar Array's Angle(Deg C),120,0.0077890195,0.02356103833099854,0.9999999999999999,OBS_R
Electronic Box Temperature(DegC),140,0.120782085,0.23299026406898712,0.9999999999999998,OBS_R
Solar Wind Analyser temperature(DegC),140,0.021795351,0.042043524790669605,0.9999999999999998,OBS_R
Out Board Sensor Temperature(Deg C),140,0.04508311,0.08696592465638589,0.9999999999999998,OBS_R
In Board Sensor Temperature(Deg C),140,0.2265728,0.4370619740738025,0.9999999999999998,OBS_R
Search Coil Magnetometer's Temperature(Deg C),140,0.0981034,0.18924277612913762,0.9999999999999998,OBS_R
Solar Array's Angle(Deg C),140,0.0060629626,0.011695536281017114,0.9999999999999998,OBS_R
Electronic Box Temperature(DegC),160,0.06769017,0.14739916021755042,1.0,OBS_R
Solar Wind Analyser temperature(DegC),160,0.028618684,0.06231879736941785,1.0,OBS_R
