Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Out Board Sensor Temperature(DegC),In Board Sensor Temperature(DegC),Search Coil Magnetometers Temperature(DegC),Solar Array Angle(Deg),High Gain Antenna azimuth(Deg),High Gain Antenna Elevation(Deg),Date
0.44233852297533305,0.16910059940302744,-0.01411653082119301,0.07879188081948087,-0.44191095609683545,0.02472697916906327,0.10978912365040742,-0.22484739361796527,2022-02-19
0.44199674707837405,0.15003652757732197,-5.692614475265145e-05,0.046836953528691085,-0.45590156394988296,0.034080952773801985,0.09146299892920069,-0.23229937355034053,2022-02-20
0.4904806133871898,0.14969298020238056,0.14717941829236225,0.09675074411323294,-0.3169585518492386,0.04770286805462092,0.1454635231231805,-0.2203685126872733,2022-02-21
0.425172710174229,0.24049605109961703,0.3139278271025978,0.11547540931031108,-0.4102455724263564,0.13192555372836068,0.07206445679534226,-0.2374171709106304,2022-02-22
0.5428881837869994,0.20616675035795196,0.29707849951228127,0.10632999559864402,-0.291770584047772,0.14470077089266853,0.031700742323882876,-0.2651714007672854,2022-02-23
0.5799624659470283,0.19415819886839017,0.3666727840830572,0.1765974152740091,-0.18166825970169156,0.13437614186434074,-0.05231610375456512,-0.220086518030148,2022-02-24
0.4553496991889551,-0.2178759117377922,0.3552628496638499,0.11471990913385526,-0.18537389527540654,0.10122549773892388,-0.17796284237876533,-0.26236339574214074,2022-02-25
0.4701947018643841,-0.2320303289918229,0.38523225963348523,0.21230654484359548,-0.01369333988521248,0.04510147704277188,-0.13130882496014237,-0.3003722221031785,2022-02-26
0.27791313908528537,-0.1634095641062595,0.383987920852378,0.23937544875545427,0.14712945861043408,-0.043654216551221904,-0.1341296694986522,-0.35484269868116824,2022-02-27
0.28417639749823137,-0.1899612357863225,0.2742719973670319,0.18320262974826618,0.25732497025746853,-0.04084417894948274,-0.15660573937930167,-0.2959299904294312,2022-02-28
0.17402228784980253,-0.23858507557306438,0.054878116198815406,0.18783452797215433,0.23338274232111872,-0.11630334744695574,-0.1800888385809958,-0.3437483485764824,2022-03-01
0.1626574590941891,-0.28523936106823383,0.32482717371545733,0.1874365333840251,0.1381948016351089,-0.09652272985316813,-0.077061931444332,-0.2855800624983385,2022-03-02
0.16812596383271738,-0.17408879941795022,0.31172665566438806,0.20556381361326204,0.25349879695102573,-0.04097972417250276,-0.03350830833427608,-0.26532106989528986,2022-03-03
0.34740393453510476,-0.09174091459717601,0.35837942628888414,0.15435160570079462,0.16828323306050152,-0.10041613419540227,0.031690141883445905,-0.2986869822675362,2022-03-04
0.3636869856133126,-0.09967294607777148,0.35767384900478644,0.1766679322370328,0.21215033261105418,-0.1071471152966842,0.005670969345374033,-0.2690549778845161,2022-03-05
0.3228135254024528,-0.08285918693523854,0.3432236484833993,0.21397502057487144,0.1307539445371367,-0.11139214738039299,-0.06622228162013925,-0.26152943006716667,2022-03-06
0.34883770713349804,-0.0796533710625954,0.22141335006803275,0.12731506794691086,0.12116792642744258,-0.053108837644103915,-0.0845964476838708,-0.32002917883219195,2022-03-07
0.4112560358387418,-0.2599783371947706,0.09732948191929608,0.18664989748969674,0.03253161409636959,0.009468711738009006,-0.05459952692501247,-0.3431050016824156,2022-03-08
0.4361106270342134,-0.2688882256671786,0.2468997158971615,0.14469505223911255,-0.030397254519630223,-0.024007650825660677,-0.13420192767865957,-0.32359270603396,2022-03-09
0.5369347053114325,-0.24707437632256188,0.12737618951359764,0.17621184138115495,-0.10565283019794151,0.061673586762044576,-0.07463993491837755,-0.2924532198137604,2022-03-10
0.3837679875502363,-0.21136844680528155,0.15597137585515156,0.17700785093475133,-0.1950966208218597,0.07461614565225318,-0.040018384305294606,-0.2830341180576943,2022-03-11
0.3723650103365071,-0.23040558962733484,0.16615258784615436,0.1807627309858799,-0.14359934334876015,-0.007348038558848202,-0.04849424299085513,-0.17351363049820065,2022-03-12
0.4180566435563378,-0.3718261533218902,0.16861439864733258,0.20352347408421337,-0.16062880637822674,-0.022534111901186406,-0.04390318024205044,0.021967865927144885,2022-03-13
0.3585949246119708,-0.6593179161276203,0.1896626984339673,0.21979831417091192,-0.22431908590486274,-0.08425202431390062,-0.04708173163002357,0.01826770235784352,2022-03-14
0.10707724510226399,0.016947502365801483,0.12073743137763814,0.1815466653322801,-0.40255906210048126,-0.10044455222552642,-0.06724735269788652,-0.000893670457880944,2022-03-15
-0.0061392862722277645,0.11217486405279488,0.14909999639727176,0.17826991104753687,-0.2940151855093427,-0.19082876452244818,-0.013061271109618246,-0.02650562797440216,2022-03-16
0.010475152458529919,0.10384114807937295,0.13935157371219248,0.0005151145230047404,-0.2861052317288704,-0.16075537705328316,-0.08087793563958258,0.016356695413123817,2022-03-17
0.1332419846812263,-0.14181654584594072,0.13480605086893774,9.578757453709841e-05,-0.35379465150879696,-0.14013658492127434,-0.11070855347905308,0.04019318711478263,2022-03-18
0.1852817441476509,-0.07448062750976532,0.25909908950794486,0.007676013763993978,-0.24515163691015915,-0.027592286402359605,-0.09212705695070326,0.07635245500132441,2022-03-19
0.1866363556077704,-0.07845145594794303,0.15081475636688993,-0.08449054541997611,-0.29834341470384973,-0.004447781678754837,-0.01959762132493779,0.09329826260218396,2022-03-20
0.13050842816010116,-0.06516189320478588,0.25972250260412694,-0.28170955657027663,-0.23710729571757838,-0.03902802936267108,-0.09280627742409706,0.1378193983109668,2022-03-21
0.22566568084061145,-0.03679341953713447,0.3018654454406351,-0.3700921462813858,-0.22257007404230536,-0.06683510583126917,-0.1106791735754814,0.18693555386271327,2022-03-22
0.22649404736352152,-0.20636246545705944,0.30625802213093267,-0.3284345621941611,-0.12680369804613292,-0.03177992389304563,-0.11423165060696192,0.27911716980161144,2022-03-23
0.07461937371990643,-0.2619996409537271,0.11815601658308879,-0.6025300397269894,-0.0002588325273245573,-0.3988775960705243,-0.19469436008599586,0.23941074380418287,2022-03-24
-0.04335900807869621,-0.35527733725495636,-0.22509001195197925,-0.7054378217400518,0.03752391871996224,-0.3118546158785466,-0.15473684419994244,0.2124455109005794,2022-03-25
0.04259420394082554,-0.3691491549066268,0.2832310939603485,-0.5748931292630732,0.046225767992436884,-0.3346718676201999,-0.11605358239379711,0.34331112187821416,2022-03-26
0.08262803382356651,-0.3749651475949213,-0.1011635903059505,-0.6193234390893485,-0.08161529688630254,-0.3319480227562599,-0.043919614277547224,0.33280816443730143,2022-03-27
0.1560384413425345,-0.3302638519788161,0.2929815482767299,-0.3361814712081104,-0.1424800851754844,-0.30079163031652567,-0.111957298690686,0.3387171233003028,2022-03-28
0.2579241406498477,-0.1404887198470533,0.2403462203766685,-0.2957478176290169,-0.2395425476366654,0.017005968010053038,-0.02909205709467642,0.39771633201511575,2022-03-29
0.2231031975708902,-0.11424196433043107,0.11927657200605608,-0.29540096210781486,-0.578677681752015,0.039208073262125255,-0.01093428595806472,0.33928917365847155,2022-03-30
0.2057592946337536,0.044137639538384975,0.28332669197930954,-0.24454736426938325,-0.5753551143896766,0.0002950806193985045,-0.0046681314939633015,0.35735340950544925,2022-03-31
0.23680560663808137,0.10495021539973096,0.13349874213221483,-0.1261314126709476,-0.5443956111348234,-0.019585584700107576,-0.04760751088499091,0.37573785429121925,2022-04-01
0.22994385269004852,0.08875845194794238,0.2936877884180285,-0.025856983582489192,-0.5275771402590909,-0.062225887982640414,-0.010810800432227551,0.39763158915098756,2022-04-02
0.23392070453613997,0.07884106932440772,0.14655905328923835,-0.02330395736731589,-0.5330612430092878,-0.08052539603086188,-0.011999396571191027,0.41918464538874106,2022-04-03
0.20679936709115282,0.015538643500767647,0.302929752827622,-0.10581104022916406,-0.36250341472914444,-0.16454531191149727,-0.008634460305329413,0.389512942249421,2022-04-04
0.07646060068393126,0.15378479095641523,0.290846178107895,-0.1083054173993878,-0.30799726534402,-0.20135803391691298,-0.09257684328826145,0.32562876652693373,2022-04-05
0.11704250781098381,0.1689800520753488,0.2248156513669528,-0.1273529464972671,-0.21598099657567219,-0.1329947368474677,0.017856109793065116,0.3042078412673436,2022-04-06
-0.02099963489221409,0.09703043122310191,0.311122814710252,-0.031184811228886247,-0.2546911996067502,-0.21322376905940474,-0.02122237896779552,0.36752416523173453,2022-04-07
0.06789673975901678,0.12957125050481408,0.3136334409657866,0.1277243479131721,-0.18813812714535744,-0.15509406545199453,0.03403497926192358,0.34276535842800515,2022-04-08
0.07384415145264939,0.19245916771935298,0.19293914766283707,0.12812110188882797,-0.143890401693061,-0.1570988678233698,0.05331717918277718,0.29298951481468977,2022-04-09
0.021978694659192114,0.18559591834200545,0.3468208847544156,0.1063481720071286,-0.06297460009111092,-0.08479357526637614,-0.0021182109776418656,0.3108894390752539,2022-04-10
0.26048751106485724,-0.017318703329656272,0.24766050125937908,0.0824325922911521,-0.06401007071835921,-7.138235960155726e-05,-0.07776529943221248,0.35997626235708596,2022-04-11
0.45401382422074676,-0.2817678314074874,0.2601782552304212,0.16987694450188429,0.017477629345376045,0.037254191329702736,-0.01633335272432305,0.37576546940254046,2022-04-12
0.3907128419261426,-0.21941634186077863,0.33279935347498396,0.18640280011110008,0.040977808062452825,-0.0002785465074703097,0.033099787395913155,0.3644683653535321,2022-04-13
0.37064632596448066,-0.19206670593935996,0.384478958863765,0.16812748569529504,0.121738099695649,-0.022632524706423282,0.017928181401221082,0.3904927784460597,2022-04-14
0.41050437967758624,-0.033020769886206836,0.3773596810735762,0.20951489442959428,0.18108402965357528,-0.02983144170604646,0.00686319220927544,0.4034028840297833,2022-04-15
0.2676652975101024,-0.14613099021138623,0.3762082739546895,0.1613574611255899,0.17422064238926396,-0.010611376073211432,0.009172343289246782,0.4701307999738492,2022-04-16
0.28242106589488686,-0.15233041206141934,0.3874223406938836,0.14286777993198485,0.18177544987061992,-0.027490772125311196,0.016133995699929075,0.4470470479573123,2022-04-17
0.1839830364426598,-0.1824114368460141,0.40539816305041315,0.09718999114818871,0.1779860356054269,0.020328618616331368,0.0836658195022028,0.44141282435739415,2022-04-18
0.135844677942805,-0.21419366328045725,0.018715899728704244,0.15277783993398772,0.04408462605904788,0.060698454356752335,0.20101961852633393,0.47848184743197636,2022-04-19
-0.2286751913325861,-0.1646364001580514,-2.5745205079810694,-0.6011115560936742,0.038405294741969555,-0.13344709563767537,0.03282359131146222,0.1770952929230407,2022-04-20
0.11839331205002963,-2.1220700007863345,-1.577076991305221,-1.1300675801816396,0.11247411946766078,0.2052126045501791,-0.05050612665363587,0.20695268882787787,2022-04-21
0.06086230656597763,-2.1347210258664564,-2.1432800872367808,-1.2645664476975798,0.04716459312476218,0.16082105037523434,-0.06097227639984339,0.20482778522069567,2022-04-22
0.10849363511893899,-1.2148189441673458,-2.2700834486098027,-1.290156487096101,0.10983262569876388,0.16255166865186765,0.07538367483764886,0.2372868145292159,2022-04-23
0.34900456003611907,-1.2739382369583472,-1.2731269984529354,-0.9902150540333241,0.18016838306793942,0.2902799689793028,0.20118653834331782,0.33185701266746037,2022-04-24
0.3676990001485683,-1.2730291289230808,-1.2503875029482878,-1.0176547260489315,0.1943825182877481,0.3033791334391572,0.19725979066919536,0.33771492987754753,2022-04-25
0.382363761679735,-1.252309747589752,-1.2373938660253772,-1.0753719299752265,0.10113720724824816,0.30291982166701925,0.19935384375508874,0.35404381702304816,2022-04-26
0.4231375914113596,-0.6294571111281403,-1.267053181612864,-1.038253694907762,0.06377762216376141,0.2695511919190176,0.20204500598367303,0.31884322183672337,2022-04-27
0.2597375897411257,-0.0031394854583777485,-1.3338785711838863,-1.1132626284612344,0.02964903521584347,0.10563458014046773,0.22097701130900532,0.32478246280457823,2022-04-28
0.39647832058370114,0.09504988640546799,-1.4447344390163197,-1.238530188894365,-0.001024430508259684,0.11835311636328698,0.23470831127488054,0.3130800682143308,2022-04-29
0.5533265073085204,0.12473411415237934,-1.3916472161957063,-1.1181809669197538,0.20354610067792236,0.20931654556654394,0.25748284964240153,0.3149378757691011,2022-04-30
0.43553664969280365,0.13082454258110374,-1.5594492261111736,-1.3024135637911969,0.106435424212832,0.06865584785817191,0.11334221360390075,0.2702221058029681,2022-05-01
0.5026140767661854,0.1240902316197753,-1.4527972798398696,-1.1852319417265245,0.1689247234701179,0.06638409319100902,0.14372706035734154,0.3152410954795778,2022-05-02
0.3848333183443174,0.1340061976760626,-1.560571130211465,-1.1528746349038557,0.11290761893382296,0.04941344904014841,0.10275797139038331,0.27550307132070884,2022-05-03
