Date,Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Out Board Sensor Temperature(DegC),In Board Sensor Temperature(DegC),Search Coil Magnetometers Temperature(DegC),Solar Array Angle(Deg),High Gain Antenna azimuth(Deg),High Gain Antenna Elevation(Deg),anomaly_score
2022-10-17,0.0292489131994098,9.77316555936155,-86.380869601225,-66.3496377708511,-108.587446618191,78.9818208590829,104.274133691014,-88.069203481934,0.06871518914082053
2022-10-18,0.0315125027021521,9.27130937930894,-86.1168644975619,-65.5839126927474,-110.136240317385,78.9818208590829,98.9364947867682,-87.6942006174498,0.0759050452535871
2022-10-19,0.034280819952807,8.89950739225776,-86.0679746635502,-64.6508437234025,-111.436148555532,76.981821622034,95.1376413543359,-87.6096745546579,0.09262333430678588
2022-10-20,0.0375630298937565,8.45732313605286,-85.7159678586662,-64.1538830766862,-112.673589009865,76.981821622034,90.7851971422578,-87.4955755278785,0.09076949618401381
2022-10-21,0.0413671881244517,7.73054970457423,-85.6426331076487,-63.8749765912842,-113.393909920723,76.981821622034,86.7629307171934,-87.3694215807913,0.0736567067553004
2022-10-22,0.0456996558397667,6.97470533583645,-85.6328551408463,-64.1234569146424,-113.845435840623,76.981821622034,80.1026151421086,-87.1039730080898,0.08589171160039905
2022-10-23,0.0505647001358114,6.35809545607668,-85.7746356594802,-64.5697072912855,-114.25305296958,76.981821622034,79.9386184441227,-87.0963512428827,0.08999154508280632
2022-10-24,0.0559642628745903,5.71241463905777,-85.7844136262825,-65.0311707489507,-114.542302061838,76.981821622034,76.5006487277898,-86.9250846855158,0.08222610814219056
2022-10-25,0.0618978693923887,5.18301757107544,-85.7550797258755,-65.4977052336231,-114.734229077137,73.0000049591821,73.6100427745962,-86.7609721160994,0.0906034654898864
2022-10-26,0.0683626441434845,4.92286794998849,-85.6866339582592,-66.6184022022385,-114.542242158985,73.0000049591821,69.8648077737501,-86.507072062639,0.09253114747836116
2022-10-27,0.0753534022882375,4.95799152423549,-85.6670780246545,-66.7958881474943,-114.703255581009,73.0000049591821,69.7592231513461,-86.4986391974184,0.09389492865347687
2022-10-28,0.0828627909238101,4.91022346325957,-85.6964119250615,-67.267493659174,-114.744713800709,73.0000049591821,65.8528882382769,-86.1799755973702,0.09801333061569195
2022-10-29,0.0908814489363908,8.04726991576597,-86.1364204311666,-67.9419402511462,-113.925651205942,70.0545515373465,62.4415560763586,-85.883563603515,0.11178635579810309
2022-10-30,0.09939823587511,7.85907384824625,-86.1119755141608,-68.5555345190306,-113.597280105235,70.0545515373465,60.5521050320027,-85.6121798386506,0.11386948812911246
2022-10-31,0.108400357812942,7.48115166387735,-86.0777526303526,-68.8242989504179,-113.70718550258,70.0363697261006,59.5646787419136,-85.4774256564986,0.11129523426490284
2022-11-01,0.117873592578443,7.30978613898134,-86.1021975473585,-68.9510746256007,-113.941759627573,70.0363697261006,58.5095792448704,-85.3524690475266,0.11798871012896278
2022-11-02,0.127802456597394,7.44443047997106,-85.6866339582592,-68.596102735089,-114.857195020714,70.0363697261006,56.8295293331236,-85.0527697382724,0.10253487097127484
2022-11-03,0.138170370300456,4.83576148585593,-80.5483124036319,-63.2563112963925,-115.865964503891,70.0363697261006,55.7318621057376,-84.8245716847135,0.0037328034636280316
2022-11-04,0.148959810987666,-5.63689707532343,-51.7801756154107,-38.4711246890711,-115.801645177361,70.0363697261006,54.619243172281,-84.5737186207221,-0.0555137923979091
2022-11-05,0.160152452969751,-6.17436765742592,-51.8011729284131,-39.1929349203268,-115.624811956542,59.9454644846265,53.4874367882383,-84.2249928217576,-0.01921294183160338
2022-11-06,0.171729294793802,-5.92473677095177,-51.9534034476807,-41.155535236184,-114.551243924014,59.9454644846265,53.4453282520831,-84.2079425553344,0.0006038901579286104
2022-11-07,0.183670775164018,-6.03299506355536,-51.9586527759313,-41.8117012675098,-114.429287161873,59.9454644846265,52.885853778688,-83.8799749085695,-0.004935346701193555
2022-11-08,0.195956875377178,-6.1692731495387,-52.1528779212037,-41.9271864890231,-114.466700443594,59.9272826733806,52.046249393192,-83.6608620334697,-0.008327120512388264
2022-11-09,0.208567212616227,4.45642688398831,-53.4809579686071,-42.2998887948161,-112.975940489697,59.9454644846265,51.5917347899197,-83.3737608576496,0.04426558243940726
2022-11-10,0.221481123711468,4.95096680938609,-53.3969687165974,-41.8851918630183,-112.964787667689,59.9272826733806,50.9397888116904,-82.8886175729118,0.04144539048768214
2022-11-11,0.234677739880722,6.01536440628465,-53.3234781210889,-41.6804680612446,-113.781546725488,59.9454644846265,50.9182968070975,-82.8675203894895,0.0370125148849344
2022-11-12,0.248136053556546,6.14694864861552,-53.082009021561,-41.1870312056877,-114.317742604654,59.9454644846265,50.7056598575031,-82.5475264137577,0.03476139824754387
2022-11-13,0.261834978066843,5.94192203847207,-53.0610117085586,-41.0400500146707,-114.561106111835,59.9454644846265,50.6179108523291,-82.2535563030121,0.0371040086694594
2022-11-14,0.275753382855463,5.02759658281447,-53.082009021561,-41.0085540451671,-114.743820703634,59.9454644846265,50.6250605487452,-81.9561486731614,0.06363657113196686
2022-11-15,0.289871208510883,5.18301757107544,-52.735553357021,-40.5938571133692,-114.942692728489,59.9454644846265,50.7258214864122,-81.6551404458958,0.06296245058606786
2022-11-16,0.304165448446293,5.36050329328916,-52.7250547005198,-40.5046185331089,-115.1539537524,59.9454644846265,51.142907137845,-81.0947862079357,0.05960194358925491
2022-11-17,0.31861614527832,5.37886388524231,-52.7040573875174,-40.3628866703425,-115.313796345941,59.9454644846265,51.1594424201326,-81.0790448595238,0.057497227775973214
2022-11-18,0.333202511476474,5.08815451265086,-52.7198053722692,-40.3051440595859,-115.492312292347,56.0363750667582,51.5809311859247,-80.7214184180822,0.05040320811669208
2022-11-19,0.347903926127975,5.14017618985143,-52.6935587310162,-40.6515997241259,-115.271265320609,56.0363750667582,52.0124063524133,-80.4290619242948,0.05850642098427333
2022-11-20,0.362699962314905,5.02038115470135,-52.7250547005198,-40.8668221824007,-115.264196784004,56.0363750667582,52.4862346725215,-80.1544509255139,0.05529652269561097
2022-11-21,0.377570411014608,4.998734870362,-52.7303040287704,-40.8195782281452,-115.400394087918,56.0363750667582,53.1675458093337,-79.8164797119147,0.05643124432290386
2022-11-22,0.392495301012217,4.8793147179222,-52.6253174637583,-40.6201037546222,-115.561647121352,56.0363750667582,53.787548084801,-79.5450916555158,0.05132647527051154
2022-11-23,0.407454924050081,4.67278810134984,-52.5938214942546,-40.4993692048583,-115.715907858176,56.0363750667582,54.6442628182028,-79.21565201243,0.034650461117092024
2022-11-24,0.422429844590858,4.84138125773544,-53.3917193883468,-41.3760070227095,-113.990155686744,30.0545667963683,55.3988647805815,-78.9575119229196,0.03782887143665692
2022-11-25,0.43740092070102,5.36356339194803,-52.8615372350356,-43.5859742162146,-111.379758188398,30.0545667963683,56.4195719204347,-78.6417365255653,0.017638195145293523
2022-11-26,0.452349317764072,4.8020428545788,-52.7040573875174,-43.7644513767352,-110.470699726199,30.0545667963683,57.4074506333929,-78.3511205830198,0.024523916788675937
2022-11-27,0.467256516920129,4.56882232157871,-52.7303040287704,-43.7224567507304,-110.238951926705,30.0545667963683,58.8059311572432,-78.0296650057863,0.0281484988761892
2022-11-28,0.482104328078618,4.52667403248231,-52.7198053722692,-43.6017222009665,-110.401304994341,30.0545667963683,59.915357189059,-77.7981023892082,0.032235567639329554
2022-11-29,0.49687489996917,4.36229570500634,-52.7198053722692,-43.4809876512025,-110.596207093784,30.0545667963683,60.7386194113183,-77.6289558498662,0.033719734565124226
2022-11-30,0.511550729368149,4.68121775916912,-49.0767715663486,-39.4616004737154,-111.463050382055,30.0545667963683,61.9454461093162,-77.413301951544,-0.01530673378016112
2022-12-01,0.526114668642839,4.8160922842776,-49.6227017044116,-39.8368693702987,-112.011624368849,30.0545667963683,63.0681201080207,-77.2354478887757,-0.0030402495968685495
2022-12-02,0.540549932845774,4.7107215615366,-51.9901487454349,-42.1844035733028,-112.257988464373,30.0545667963683,64.4896994821036,-77.0380373034575,0.028755167123036496
2022-12-03,0.554840106197319,4.64609418492212,-53.6331884878746,-43.753952720234,-112.432832388303,30.0545667963683,65.8067971581396,-76.8813362140595,0.018347633551544118
2022-12-04,0.568969147857587,4.60254095285583,-53.5229525946119,-43.554478246711,-112.582700045359,30.0545667963683,68.1329032510815,-76.6597385405055,0.01814969759277163
2022-12-05,0.5829213966186,4.48874057229555,-54.8457833137647,-44.8248156833577,-112.52994741509,30.0545667963683,69.488092587015,-76.5640544881086,-0.004144172818636549
2022-12-06,0.596681575299039,3.76378999983744,-86.1315314477654,-74.5748435767065,-112.883014828202,30.0545667963683,69.5611430866517,-76.5595955838011,0.10319069529555597
2022-12-07,0.610234795420018,4.17403334704242,-86.1510873813701,-74.0880249840048,-113.913523601152,30.0545667963683,71.6116468363515,-76.4581050852752,0.1179175246924477
2022-12-08,0.623566560094012,4.24006566662678,-85.7208568420674,-73.5454250942228,-114.415155534378,30.0545667963683,73.1228634907723,-76.4155974364149,0.1117072593964139
2022-12-09,0.636662767199461,3.89163981009653,-86.1315314477654,-73.8496867146613,-114.419599236897,30.0545667963683,72.6922080489007,-76.7415266043097,0.11842162237327625
2022-12-10,0.649510048519685,4.20634703534966,-86.0973085639573,-74.9348864942255,-113.637463320326,30.0545667963683,1.9109832926031,-89.6626759774155,0.09593464347192693
2022-12-11,0.662095794218198,4.2597348682051,-86.1070865307596,-73.9409652007929,-114.555616832253,30.0545667963683,77.5583016878387,-76.4364414193038,0.10934847488143257
2022-12-12,0.674406032019937,4.00263030471705,-85.9066382113118,-73.5099279051716,-114.896841411563,30.0545667963683,78.8283469800176,-76.4902615530098,0.10127546238276419
2022-12-13,0.686428262343877,3.98998581798813,-85.6475220910498,-73.1448139606453,-115.039475555417,30.0545667963683,78.8926384578144,-76.4934802038574,0.08680024659139945
2022-12-14,0.69815039148134,4.03353905005441,-85.7159678586662,-73.1549560146599,-115.133946199638,30.0545667963683,80.1884973297909,-76.5682344426759,0.09264016193968128
2022-12-15,0.709560719065432,4.01808467738573,-86.2684229829981,-73.631632553347,-115.208519805388,30.0545667963683,82.4513376216727,-76.7516717917812,0.08203308401359993
2022-12-16,0.720647995439543,3.86916072257844,-85.740412775672,-73.0890326635649,-115.233134432084,30.0545667963683,83.5779340828768,-76.8684058207212,0.08166187499814659
2022-12-17,0.7314013405237,3.47718163398191,-86.1364204311666,-73.3425840139304,-113.663331168777,0.0545782406347683,84.7017324636106,-77.0023875266697,0.11272195427117032
2022-12-18,0.741810298969507,3.21305235564446,-86.4590933356436,-73.5758512562666,-111.698751769819,0.0545782406347683,85.3834040893177,-77.0927801170731,0.08772962306691573
2022-12-19,0.751864828361044,2.52884512931287,-86.4786492692483,-73.697555904442,-111.449000440268,0.0545782406347683,86.6336782822235,-77.2776508386891,0.07160644941366107
2022-12-20,0.761555297658799,3.11611129072273,-86.498205202853,-73.7330530934932,-111.574822030551,-0.0181490043488282,87.7354696742289,-77.4632253719571,0.0864415782399523
2022-12-21,0.770872488681348,3.48701623477107,-86.4884272360507,-73.7229110394786,-112.206060612224,-0.0181490043488282,88.199796537035,-77.5485839924349,0.10872181804673392
2022-12-22,0.779807597191711,3.63875007551812,-86.410203501632,-73.631632553347,-112.605426494537,-0.0181490043488282,89.4539116532857,-77.793961058451,0.11471830531695143
2022-12-23,0.788352233148252,3.61908087393979,-86.380869601225,-73.5504961212301,-112.725883628866,-0.0181490043488282,90.2778991448693,-77.9732012868509,0.11675610234756634
2022-12-24,0.796498421151958,3.59098201454219,-86.351535700818,-73.4896437971423,-112.801078041412,-0.0181490043488282,91.0585464299065,-78.1577844756579,0.11822092501047538
2022-12-25,0.804238600988288,3.59379190048195,-86.3417577340156,-73.4693596891131,-112.843555854209,-0.0181490043488282,91.0977195564888,-78.1674275535972,0.12113576067267201
2022-12-26,0.811565627496591,3.64155996145787,-86.3417577340156,-73.4490755810839,-112.861522209469,-0.0181490043488282,92.2249511647934,-78.452278153608,0.11890938261570166
2022-12-27,0.818472770752674,3.63594018957836,-86.3417577340156,-73.41864941904,-112.896370670823,-0.0181490043488282,93.1791395204633,-78.7383647155441,0.12371049568787496
2022-12-28,0.82495371680843,3.62470064581932,-86.3124238336086,-73.3780812029815,-112.921953505163,-0.0181490043488282,93.5788702065258,-78.8627891742426,0.12341703407820653
2022-12-29,0.831002567278281,3.59941167236148,-86.322201800411,-73.3679391489669,-112.951398048864,-0.0181490043488282,94.3613328106411,-79.1251263844581,0.12532206591964312
2022-12-30,0.836613839611279,3.58536224266268,-86.322201800411,-73.3577970949523,-112.968665335711,-0.0181490043488282,94.8832520659467,-79.3145418410709,0.12521089968350108
2022-12-31,0.841782467178933,3.56288315514459,-86.3026458668063,-73.3273709329085,-112.987389855578,-0.0181490043488282,94.9104131875658,-79.3247814423007,0.12684559185636235
2023-01-01,0.846503799335508,3.54883372544579,-86.3026458668063,-73.3172288788938,-113.005211201753,-0.0181490043488282,95.4784449806809,-79.5459714200808,0.12437570057563546
2023-01-02,0.850773601460101,3.66403904897596,-86.3124238336086,-73.2969447708646,-113.009877188411,-0.0181490043488282,95.9134563715674,-79.7310824676267,0.11959188760063688
2023-01-03,0.854588054732268,3.82420254754228,-86.2830899332016,-73.2563765548061,-113.030205048162,-0.0181490043488282,96.3895181013471,-79.9084326091123,0.1188211562438184
2023-01-04,0.857943756888574,3.61908087393979,-86.292867900004,-73.2665186088207,-113.044745599262,-0.0181490043488282,96.3829888656777,-79.9429083172076,0.1260849469705448
2023-01-05,0.860837721516853,3.56569304108435,-86.2733119663993,-73.2462345007915,-113.051545810692,-0.0181490043488282,97.3843626427731,-80.4721317641699,0.1322117089595764
2023-01-06,0.86326737827011,3.50949532228915,-86.2830899332016,-73.2665186088207,-113.06122878502,-0.0181490043488282,97.6963486151961,-80.6655211816959,0.13168137732153173
2023-01-07,0.865230572871854,3.50106566446987,-86.292867900004,-73.3070868248792,-113.07362620018,-0.0181490043488282,97.9721226198166,-80.8502974895537,0.13130349534230346
2023-01-08,0.866725567110461,3.48420634883131,-86.2782009498005,-73.2969447708646,-113.080174918642,-0.0181490043488282,98.2178301339864,-81.0334945127289,0.13374027276901368
2023-01-09,0.867751038831258,3.52916452386747,-86.2830899332016,-73.2969447708646,-113.071018693365,-0.0181490043488282,98.4405307318976,-81.2159877242522,0.13417635891169233
2023-01-10,0.868306081619078,3.21164741267458,-86.4004255348297,-73.4389335270693,-112.538443718859,-0.0181490043488282,98.6400656267752,-81.399467988702,0.12184008896246723
2023-01-11,0.868390205704856,3.02338505471065,-86.498205202853,-73.5403540672154,-112.092871449415,-0.0181490043488282,98.8120746196042,-81.5777855371923,0.11362532209476356
2023-01-12,0.868003348200652,3.33528239402402,-86.380869601225,-73.4389335270693,-112.700090328886,-0.0181490043488282,98.9626388147196,-81.7593174449958,0.12686653154003913
2023-01-13,0.867145829265961,3.51230520822891,-86.3124238336086,-73.3679391489669,-113.020973573021,-0.0181490043488282,99.0842179860687,-81.9334035405052,0.1381261169577015
2023-01-14,0.865818417649068,3.49263600665059,-86.2830899332016,-73.3273709329085,-113.053469137819,-0.0181490043488282,99.1863221740229,-82.110141804313,0.13664050197854105
2023-01-15,0.864022287423328,3.47577669101203,-86.292867900004,-73.3577970949523,-113.051958199752,-0.0181490043488282,99.2633423430382,-82.2826014082607,0.13082854660652388
2023-01-16,0.86175902869683,1.83480330219212,-54.693552794497,-43.3445051166867,-112.760771423486,-0.0181490043488282,96.8386683280746,-82.4798102914591,-0.014394240833827898
2023-01-17,0.859030678230298,1.3852215518305,-84.9043966140723,-72.7999841241483,-111.967903207503,-0.0181490043488282,99.3225612270992,-82.4591551360865,0.04226762487447294
2023-01-18,0.855839639416201,1.72240786460172,-86.322201800411,-73.712768985464,-112.853729224121,-0.0181490043488282,99.3657426468703,-82.785526332031,0.08563041511560926
2023-01-19,0.852188737941475,-2.53388283183179,-53.5649472206168,-42.8090736351249,-112.659947496619,-0.0181490043488282,99.3586530319367,-82.9493642432418,-0.05915007391139937
2023-01-20,0.848081228048223,2.7452063466744,-53.5649472206168,-42.8825642306334,-111.614381324816,-0.0181490043488282,99.3290071118633,-83.1104641554648,0.02901654747410576
2023-01-21,0.84352078001513,3.49685083556023,-53.3549740905925,-42.4993632683392,-111.600532874442,-0.0363308155947379,99.3268699277005,-83.1189141868233,0.034942721125905685
2023-01-22,0.838511480145337,3.59660178642172,-53.4494619991034,-42.5518565508452,-111.547883712737,-0.0181490043488282,99.2113847352893,-83.4292178777367,0.05344470430987025
2023-01-23,0.833057830745316,3.66403904897596,-53.6069418466216,-42.7093363983634,-111.499346065005,-0.0181490043488282,99.2073335267559,-83.4370284704602,0.055804583944812636
2023-01-24,0.827164750011693,3.675278592735,-53.5491992358649,-42.6778404288598,-111.47117538715,-0.0181490043488282,99.1081175414957,-83.6077328368123,0.06569764364517522
2023-01-25,0.820837572203332,3.68651813649404,-53.5229525946119,-42.6778404288598,-111.42950478461,-0.0181490043488282,98.9955720501919,-83.7611809430871,0.06785065613010832
2023-01-26,0.814082047354752,3.66403904897596,-53.7014297551325,-42.8720655741322,-111.382284999634,-0.0181490043488282,98.7384919696941,-84.0390148842501,0.0632525063048971
2023-01-27,0.806904341245061,3.73428619746996,-53.4914566251083,-42.6725911006092,-111.334542426127,-0.0181490043488282,98.5734824695749,-84.1855879523143,0.07244250549247333
